brand,display,graphic,hdd,link,name,price,processor,ram
asus,15.6� FHD LED (1920x1080) 60Hz Anti-Glare,Nvidia Geforce MX 150 (4GB) GDDR5 VRAM,1024,http://www.linnonlinestore.com/asus-x542un-i7-laptop/?setCurrencyId=2,asus x542un (i7) laptop,1277797.5,8th Generation Intel Core i7,8
,,,,,,,,
asus,15.6� FHD LED (1920x1080) 60Hz Anti-Glar,Nvidia Geforce MX 150 (4GB) GDDR5 VRAM,1024,http://www.linnonlinestore.com/asus-x542un-i7-laptop/?setCurrencyId=1,asus x542un (i7) laptop,"1,197,000",8th Generation Intel Core i7,8
,,,,,,,,
hp," 14"" Display ", Nvidia MX 130 2GB,1024,http://www.linnonlinestore.com/hp-14-ce0036tx-i5-laptop/,hp 14-ce0036tx (i5) laptop ,1140090.0, 8th Generation Intel Core™ i, 4
,,,,,,,,
hp,"14"" Diagonal HD, Muiti-touch enable","Nvidia Geforce Graphics,",1024,http://www.linnonlinestore.com/hp-x360-14-cd0048tx-laptop/,hp x360 14-cd0048tx laptop,1382412.5,8th Generation Intel Core i5,8
,,,,,,,,
hp,"15.6"" diagonal HD WLED-backlit",AMD Radeon 530 4GB Graphics,1024,http://www.linnonlinestore.com/hp-15-cu-0009tx-i7-laptop/?setCurrencyId=2,hp 15-cu 0009tx i7 laptop,1361062.5,8th Generation Intel Core™ i,8
,,,,,,,,
hp,"15.6"" diagonal HD WLED-backlit",AMD Radeon 530 4GB Graphics,1024,http://www.linnonlinestore.com/hp-15-cu-0009tx-i7-laptop/?setCurrencyId=1,hp 15-cu 0009tx i7 laptop,"1,275,000",8th Generation Intel Core™ i,8
,,,,,,,,
hp,14” diagonal HD Display,AMD Radeon R520 (2GB),1024,http://www.linnonlinestore.com/hp-14-ck00003tx-i7-8th-gen-laptop/?setCurrencyId=2,hp 14-ck00003tx i7 8th gen laptop,1212680.0,8th Generation Intel Core i7,8
,,,,,,,,
hp,14” diagonal HD Display,AMD Radeon R520 (2GB),1024,http://www.linnonlinestore.com/hp-14-ck00003tx-i7-8th-gen-laptop/?setCurrencyId=1,hp 14-ck00003tx i7 8th gen laptop,"1,136,000",8th Generation Intel Core i7,8
,,,,,,,,
asus,15.6'' Full HD Display,Nvidia Geforce MX 130 2GB,1024,http://www.linnonlinestore.com/asus-x542uf-i5-laptop/,asus x542uf (i5) laptop,"962,000",8th Generation Intel Core i5,4
,,,,,,,,
asus,"15.6"" HD (1920 x 1080)(Anti Glare)",Nvidia Geforce GTX 1050 4GB Graphics,1024,http://www.linnonlinestore.com/asus-fx-505gd-bo360t-i5-laptop/,asus fx 505gd-bo360t (i5) laptop,"1,419,000",8th Generation Intel Core i5,8
,,,,,,,,
asus,15.6� HD LED(1366x768) 60Hz Anti-Glare,Nvidia Geforce MX130 (2GB) GDDR5 VRAM,1024,http://www.linnonlinestore.com/asus-x542uf-i7-laptop/?setCurrencyId=2,asus x542uf (i7) laptop,1092052.5,8th Generation Intel Core i7,4
,,,,,,,,
hp,"14"" Diagonal HD, Muiti-touch enable","Nvidia Geforce Graphics,",1024,http://www.linnonlinestore.com/hp-x360-14-cd0048tx-laptop/?setCurrencyId=2,hp x360 14-cd0048tx laptop,1382412.5,8th Generation Intel Core i5,8
,,,,,,,,
hp,"14"" Diagonal HD, Muiti-touch enable","Nvidia Geforce Graphics,",1024,http://www.linnonlinestore.com/hp-x360-14-cd0048tx-laptop/?setCurrencyId=1,hp x360 14-cd0048tx laptop,"1,295,000",8th Generation Intel Core i5,8
,,,,,,,,
hp," 14"" Display ", Nvidia MX 130 2GB,1024,http://www.linnonlinestore.com/hp-14-ce0036tx-i5-laptop/?setCurrencyId=2,hp 14-ce0036tx (i5) laptop ,1140090.0, 8th Generation Intel Core™ i, 4
,,,,,,,,
hp," 14"" Display ", Nvidia MX 130 2GB,1024,http://www.linnonlinestore.com/hp-14-ce0036tx-i5-laptop/?setCurrencyId=1,hp 14-ce0036tx (i5) laptop ,"1,068,000 ", 8th Generation Intel Core™ i, 4
,,,,,,,,
asus,15.6� HD LED(1366x768) 60Hz Anti-Glare,Nvidia Geforce MX130 (2GB) GDDR5 VRAM,1024,http://www.linnonlinestore.com/asus-x542uf-i7-laptop/?setCurrencyId=1,asus x542uf (i7) laptop,"1,023,000",8th Generation Intel Core i7,4
,,,,,,,,
